"id_origem_dados_pontos","lon","lat","rumo","veloc","irin","mmsi","dh","imo","fonte","id_origem_dados","nome_navio"
"1569444096","-22.5120417","-33.3511783","272","10","LAFQ7","259776000","2019-10-23 06:39:44-03","9389825","AIS-S","29","GOYA"
"1569544853","-57.5385667","-38.0461917","33.4","10.7","LW6336","701006061","2019-10-23 09:36:32-03","7403603","AIS-S","29","GRACIELA"
"1569439291","-47.551265","-29.4059","228","10.2","LW3621","701126000","2019-10-23 04:00:52-03","9872755","AIS-S","29","GRACIELA I"
"1569564098","-31.12473","-6.0308383","303","12.3","5BLN4","209004000","2019-10-23 07:17:28-03","9689835","AIS-S","29","GRAECIA AETERNA"
"1569420434","-58.7025167","-34.2500333","214","16.3","5BGH5","209631000","2019-10-23 10:32:18-03","9382097","AIS-S","29","GRAL. SAN MARTIN"
"1569505272","-54.6811833","-2.4215333","210","10.2","V7YG7","538007634","2019-10-23 07:35:59-03","9391531","AIS-S","29","GRAND"
"1569599417","-53.26975","-34.3561","40","17.3","IBMW","247098900","2019-10-23 11:34:59-03","9246607","AIS-S","29","GRANDE AMBURGO"
"1569443228","-36.5343333","-14.513","229","14.8","IBNO","247091500","2019-10-23 07:09:06-03","9253208","AIS-S","29","GRANDE SAN PAOLO"
"1569599339","-41.2587733","-0.6094883","305","13.1","VRQB4","477172900","2019-10-23 11:30:44-03","9792905","AIS-S","29","GREAT FAITH"
"1569463911","-51.8959233","-32.1637067","116","0.3","VRIU3","477091300","2019-10-23 05:11:41-03","9629627","AIS-S","29","GREAT MIND"
"1569424005","-30.6943117","-37.0690733","269","12.7","VRNO3","477524800","2019-10-23 06:06:18-03","9733612","AIS-S","29","GREAT VICTORY"
"1569515927","-55.58153","-35.1767367","345","0.1","P3GG9","538008597","2019-10-23 03:34:51-03","9230921","AIS-S","29","GREENWING"
"1569422600","-57.8940917","-34.851775","0","0","LW3625","701006371","2019-10-23 11:14:13-03","111111111","AIS-S","29","GUARANI"
"1569435219","-56.1993917","-34.8994533","16.5","0","CXMZ","770576246","2019-10-23 10:10:58-03","0","AIS-S","29","GUENOA"
"1569497232","-46.3606833","-23.9201167","281","0","C6XG8","311009200","2019-10-23 09:08:33-03","9381562","AIS-S","29","GULF BAYNUNAH"
"1569394390","-31.4372","-25.4331667","282","11.8","A8QI8","636013937","2019-10-23 06:02:14-03","9053579","AIS-S","29","GUOFENG ENTERPRISE"
"1569417787","-59.1843383","-33.9602267","280","11.6","BFCB","414149000","2019-10-23 09:00:42-03","9591466","AIS-S","29","GUO YUAN 28"
"1569406510","-57.5347817","-38.04962","10","0","LW 7344","701059000","2019-10-23 09:05:24-03","8600727","AIS-S","29","GURISES"
"1569419104","-38.482995","-3.70977","288","9.8","PPRE","710247000","2019-10-23 08:05:22-03","8506438","AIS-S","29","GURUPA"
"1569413080","-35.098405","-5.2308717","344","0.1","PPRF","710248000","2019-10-23 11:30:45-03","8516897","AIS-S","29","GURUPI"
"1569599616","-57.89775","-34.8471833","280","0","LW2545","701006380","2019-10-23 11:28:36-03","8618994","AIS-S","29","GUSTAVO U"
"1569440395","-48.51893","-25.5022917","199","0","PP8392","710011770","2019-10-23 10:32:53-03","9440631","AIS-S","29","HADAR"
"1569405329","-38.496995","-12.78537","117","0.1","9V3234","565980000","2019-10-23 02:31:14-03","9336490","AIS-S","29","HAFNIA EUROPE"
"1569439214","-31.5861667","-14.5188333","203","10.6","3EDS9","370178000","2019-10-23 10:32:51-03","9150614","AIS-S","29","HAI GONG YOU 306"
"1569433820","-56.200995","-34.8982867","159","0","BFAQ5","413302640","2019-10-23 09:13:22-03","9567829","AIS-S","29","HAIYANGSHIYOU720"
"1569590260","-56.2005283","-34.8989633","159","0","BFBJ9","413305440","2019-10-23 11:40:40-03","9739070","AIS-S","29","HAIYANGSHIYOU 771"
"1569406134","-44.3781717","-2.565305","200.3","0.1","PS3300","710000467","2019-10-23 09:43:34-03","9573232","AIS-S","29","HAMAL"
"1569454730","-56.1984067","-34.8959833","339","8.7","V3UX3","312262000","2019-10-23 09:17:24-03","8663573","AIS-S","29","HANG BO 2002"
"1569414058","-56.2279867","-34.90184","31","0.9","V3UC4","312267000","2019-10-23 09:17:24-03","8663585","AIS-S","29","HANG BO 2003"
"1569508469","-40.78319","-21.8539283","215","3.2","PPOP","710000240","2019-10-23 00:35:29-03","8710144","AIS-S","29","HANG JUN 3001"
"1569415169","-58.336235","-34.629515","280","10.8","BQDE","413093816","2019-10-23 11:39:56-03","9318292","AIS-S","29","HANGJUN4011"
"1569473936","-52.090255","-33.5075733","151","11.4","DUGE","548892000","2019-10-23 09:17:26-03","9691424","AIS-S","29","HANTON TRADER II"
"1569530517","-40.3364633","-20.3223883","293.5","0","PS7383","710001110","2019-10-23 10:39:42-03","9341859","AIS-S","29","HARIS"
"1569412616","-60.7502633","-32.6057517","331","0","CPZ3058","720951000","2019-10-23 09:35:11-03","9686522","AIS-S","29","HB CENTAURUS"
"1569423392","-58.5028467","-26.92915","12","6.9","ZPEA","755072000","2019-10-23 11:28:24-03","311500004","AIS-S","29","HB GRUS"
"1569470462","-52.96538","-1.72092","5","6.9","PO3051","710002168","2019-10-23 05:59:25-03","9686455","AIS-S","29","HB HYDRA"
"1569392980","-60.1205583","-33.3731367","214","6","ZPDW","755070000","2019-10-23 09:16:11-03","9686483","AIS-S","29","HB PEGASUS"
"1569455751","-60.78633","-32.5669333","335","0","CPZ3061","720954000","2019-10-23 07:38:36-03","1991","AIS-S","29","HB PERSEUS"
"1569490436","-49.1077417","-1.6800183","316.3","0.1","PU 4659","710003757","2019-10-23 06:38:51-03","0","AIS-S","29","HB PIRARARA"
"1569585474","-59.80536","-33.546675","331","7.4","CPZ3066","720954021","2019-10-23 07:31:17-03","410000011","AIS-S","29","HB TAURUS"
"1569496966","-50.78905","0.17475","36","12.8","PS2423","710026140","2019-10-23 07:15:16-03","9555797","AIS-S","29","HB TUCUNARE"
"1569420198","-34.457775","-9.7036267","208","14.3","C6BG2","311000253","2019-10-23 07:11:08-03","8802882","AIS-S","29","HEBRIDEAN SKY"
